lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-02-18,FAX・EDM,11,107,160.50,400,0.40
2026-02-19,FAX・EDM,107,214,296.31,400,0.74
2026-02-20,FAX・EDM,38,252,324.00,400,0.81
2026-02-21,FAX・EDM,8,260,334.29,400,0.84
2026-02-22,FAX・EDM,1,261,335.57,400,0.84
2026-02-23,FAX・EDM,6,267,343.29,400,0.86
2026-02-24,FAX・EDM,6,273,327.60,400,0.82
2026-02-25,FAX・EDM,33,306,344.25,400,0.86
2026-02-26,FAX・EDM,9,315,333.53,400,0.83
2026-02-27,FAX・EDM,2,317,317.00,400,0.79
2026-02-01,LIS,16,16,,366,
2026-02-02,LIS,17,33,594.00,366,1.62
2026-02-03,LIS,16,49,441.00,366,1.20
2026-02-04,LIS,17,66,396.00,366,1.08
2026-02-05,LIS,24,90,405.00,366,1.11
2026-02-06,LIS,20,110,396.00,366,1.08
2026-02-07,LIS,8,118,424.80,366,1.16
2026-02-08,LIS,20,138,496.80,366,1.36
2026-02-09,LIS,31,169,507.00,366,1.39
2026-02-10,LIS,21,190,488.57,366,1.33
2026-02-11,LIS,13,203,522.00,366,1.43
2026-02-12,LIS,20,223,501.75,366,1.37
2026-02-13,LIS,10,233,466.00,366,1.27
2026-02-14,LIS,14,247,494.00,366,1.35
2026-02-15,LIS,17,264,528.00,366,1.44
2026-02-16,LIS,21,285,513.00,366,1.40
2026-02-17,LIS,21,306,500.73,366,1.37
2026-02-18,LIS,25,331,496.50,366,1.36
2026-02-19,LIS,20,351,486.00,366,1.33
2026-02-20,LIS,25,376,483.43,366,1.32
2026-02-21,LIS,15,391,502.71,366,1.37
2026-02-22,LIS,13,404,519.43,366,1.42
2026-02-23,LIS,15,419,538.71,366,1.47
2026-02-24,LIS,17,436,523.20,366,1.43
2026-02-25,LIS,17,453,509.63,366,1.39
2026-02-26,LIS,34,487,515.65,366,1.41
2026-02-27,LIS,8,495,495.00,366,1.35
2026-02-01,TOP,5,5,,335,
2026-02-02,TOP,18,23,414.00,335,1.24
2026-02-03,TOP,24,47,423.00,335,1.26
2026-02-04,TOP,18,65,390.00,335,1.16
2026-02-05,TOP,18,83,373.50,335,1.11
2026-02-06,TOP,10,93,334.80,335,1.00
2026-02-07,TOP,2,95,342.00,335,1.02
2026-02-08,TOP,10,105,378.00,335,1.13
2026-02-09,TOP,15,120,360.00,335,1.07
2026-02-10,TOP,18,138,354.86,335,1.06
2026-02-11,TOP,9,147,378.00,335,1.13
2026-02-12,TOP,11,158,355.50,335,1.06
2026-02-13,TOP,8,166,332.00,335,0.99
2026-02-14,TOP,4,170,340.00,335,1.01
2026-02-15,TOP,12,182,364.00,335,1.09
2026-02-16,TOP,16,198,356.40,335,1.06
2026-02-17,TOP,17,215,351.82,335,1.05
2026-02-18,TOP,17,232,348.00,335,1.04
2026-02-19,TOP,22,254,351.69,335,1.05
2026-02-20,TOP,18,272,349.71,335,1.04
2026-02-21,TOP,10,282,362.57,335,1.08
2026-02-22,TOP,3,285,366.43,335,1.09
2026-02-23,TOP,13,298,383.14,335,1.14
2026-02-24,TOP,15,313,375.60,335,1.12
2026-02-25,TOP,16,329,370.13,335,1.10
2026-02-26,TOP,20,349,369.53,335,1.10
2026-02-27,TOP,6,355,355.00,335,1.06
2026-02-01,その他,1,1,,90,
2026-02-02,その他,4,5,90.00,90,1.00
2026-02-03,その他,2,7,63.00,90,0.70
2026-02-04,その他,1,8,48.00,90,0.53
2026-02-05,その他,2,10,45.00,90,0.50
2026-02-06,その他,2,12,43.20,90,0.48
2026-02-07,その他,6,18,64.80,90,0.72
2026-02-08,その他,1,19,68.40,90,0.76
2026-02-09,その他,9,28,84.00,90,0.93
2026-02-10,その他,5,33,84.86,90,0.94
2026-02-11,その他,2,35,90.00,90,1.00
2026-02-12,その他,5,40,90.00,90,1.00
2026-02-13,その他,5,45,90.00,90,1.00
2026-02-14,その他,3,48,96.00,90,1.07
2026-02-15,その他,4,52,104.00,90,1.16
2026-02-16,その他,4,56,100.80,90,1.12
2026-02-17,その他,2,58,94.91,90,1.05
2026-02-18,その他,3,61,91.50,90,1.02
2026-02-19,その他,1,62,85.85,90,0.95
2026-02-20,その他,5,67,86.14,90,0.96
2026-02-21,その他,6,73,93.86,90,1.04
2026-02-22,その他,4,77,99.00,90,1.10
2026-02-23,その他,1,78,100.29,90,1.11
2026-02-24,その他,4,82,98.40,90,1.09
2026-02-25,その他,5,87,97.88,90,1.09
2026-02-26,その他,5,92,97.41,90,1.08
2026-02-27,その他,1,93,93.00,90,1.03
2026-02-01,全体,52,52,,2008,
2026-02-02,全体,70,122,2196.00,2008,1.09
2026-02-03,全体,72,194,1746.00,2008,0.87
2026-02-04,全体,62,256,1536.00,2008,0.76
2026-02-05,全体,71,327,1471.50,2008,0.73
2026-02-06,全体,55,382,1375.20,2008,0.68
2026-02-07,全体,24,406,1461.60,2008,0.73
2026-02-08,全体,57,463,1666.80,2008,0.83
2026-02-09,全体,104,567,1701.00,2008,0.85
2026-02-10,全体,86,653,1679.14,2008,0.84
2026-02-11,全体,74,727,1869.43,2008,0.93
2026-02-12,全体,81,808,1818.00,2008,0.91
2026-02-13,全体,79,887,1774.00,2008,0.88
2026-02-14,全体,75,962,1924.00,2008,0.96
2026-02-15,全体,87,1049,2098.00,2008,1.04
2026-02-16,全体,95,1144,2059.20,2008,1.03
2026-02-17,全体,132,1276,2088.00,2008,1.04
2026-02-18,全体,102,1378,2067.00,2008,1.03
2026-02-19,全体,182,1560,2160.00,2008,1.08
2026-02-20,全体,128,1688,2170.29,2008,1.08
2026-02-21,全体,77,1765,2269.29,2008,1.13
2026-02-22,全体,51,1816,2334.86,2008,1.16
2026-02-23,全体,77,1893,2433.86,2008,1.21
2026-02-24,全体,75,1968,2361.60,2008,1.18
2026-02-25,全体,96,2064,2322.00,2008,1.16
2026-02-26,全体,101,2165,2292.35,2008,1.14
2026-02-27,全体,30,2195,2195.00,2008,1.09
