created_date,f_initial_deal_acquisition_date,first_meeting_date,business_meeting_scheduled_date,inflow_route_media_lasttouch,cv_content_sub_lasttouch,stage_name,reasons_not_negotiated,scheduled_initialdead_interval_days,scheduled_initialdead_interval_days_category
2025-08-28T20:29:19.000Z,2025-09-01T09:00:00.000Z,2025-09-05T09:00:00.000Z,2025-09-05T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,4,1週間
2025-08-28T23:01:30.000Z,2025-09-01T09:00:00.000Z,2025-09-01T09:00:00.000Z,2025-09-01T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,06_有料契約申請完了,,0,1日以内
2025-08-28T23:17:45.000Z,2026-01-26T09:00:00.000Z,,2026-01-27T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,1,3日以内
2025-08-30T06:24:20.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,時期尚早,1,3日以内
2025-08-30T07:38:06.000Z,2025-09-01T09:00:00.000Z,2025-09-02T09:00:00.000Z,2025-09-02T09:00:00.000Z,DIS,"LC_デモ電話_Dis広告_""出られない時だけ""訴求_0800-111-3936",99_失注,,1,3日以内
2025-08-30T19:02:26.000Z,2025-09-01T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,9,2週間以内
2025-08-30T22:02:21.000Z,2025-09-01T09:00:00.000Z,,2025-09-03T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,時期尚早,2,3日以内
2025-08-31T08:07:35.000Z,2025-09-02T09:00:00.000Z,2025-10-02T09:00:00.000Z,2025-10-02T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,30,2週間以上
2025-08-31T13:32:20.000Z,2025-09-01T09:00:00.000Z,2025-09-02T09:00:00.000Z,2025-09-02T09:00:00.000Z,LIS,LC_デモ電話_AILP_PC_Aパターン_0800-111-3970,99_失注,,1,3日以内
2025-08-31T20:29:02.000Z,2025-09-01T09:00:00.000Z,2025-09-02T09:00:00.000Z,2025-09-02T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,06_有料契約申請完了,,1,3日以内
2025-08-31T21:57:25.000Z,2025-09-03T09:00:00.000Z,2025-09-04T09:00:00.000Z,2025-09-04T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,その他,1,3日以内
2025-08-31T23:04:43.000Z,2025-09-01T09:00:00.000Z,,2025-09-04T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,3,1週間
2025-08-31T23:06:28.000Z,2025-09-01T09:00:00.000Z,,2025-09-02T09:00:00.000Z,LIS,IVRy AI電話代行サービスLP（デモ）,99_失注,,1,3日以内
2025-08-31T23:21:05.000Z,2025-09-16T09:00:00.000Z,,2025-09-18T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_LINE風_0800-111-3956,99_失注,,2,3日以内
2025-09-01T01:10:19.000Z,2025-09-02T09:00:00.000Z,2025-09-17T09:00:00.000Z,2025-09-17T09:00:00.000Z,その他,LC_ユースケース別デモ電話_代表電話_050-1724-6323,99_失注,,15,2週間以上
2025-09-01T06:53:54.000Z,2025-09-03T09:00:00.000Z,2025-09-08T09:00:00.000Z,2025-09-08T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,5,1週間
2025-09-01T07:24:23.000Z,2025-09-01T09:00:00.000Z,2025-09-05T09:00:00.000Z,2025-09-05T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,4,1週間
2025-09-01T09:45:42.000Z,2025-09-01T09:00:00.000Z,2025-09-01T09:00:00.000Z,2025-09-01T09:00:00.000Z,DIS,LC_デモ電話_LIS・サイトリンク_0800-111-3713,99_失注,,0,1日以内
2025-09-01T10:11:09.000Z,2025-09-02T09:00:00.000Z,2025-09-22T09:00:00.000Z,2025-09-22T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,20,2週間以上
2025-09-01T19:48:30.000Z,2025-09-01T09:00:00.000Z,2025-09-04T09:00:00.000Z,2025-09-02T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,1,3日以内
2025-09-01T22:45:22.000Z,2025-09-01T09:00:00.000Z,,2025-09-01T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,0,1日以内
2025-09-02T01:22:43.000Z,2025-09-01T09:00:00.000Z,2025-09-05T09:00:00.000Z,2025-09-03T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,2,3日以内
2025-09-02T04:39:37.000Z,2025-12-16T09:00:00.000Z,2025-12-17T09:00:00.000Z,2025-12-17T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,1,3日以内
2025-09-02T15:19:14.000Z,2025-09-03T09:00:00.000Z,2025-09-05T09:00:00.000Z,2025-09-05T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,2,3日以内
2025-09-02T17:38:25.000Z,2025-09-02T09:00:00.000Z,,2025-09-04T09:00:00.000Z,DIS,"LC_デモ電話_Dis広告_""出られない時だけ""訴求_0800-111-3936",99_失注,,2,3日以内
2025-09-02T20:47:26.000Z,2025-09-02T09:00:00.000Z,2025-09-03T09:00:00.000Z,2025-09-03T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,1,3日以内
2025-09-03T01:06:33.000Z,2025-09-03T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,LIS,IVRy AI電話代行サービスLP（デモ）,04_上申内容の合意フェーズ,,6,1週間
2025-09-03T08:06:51.000Z,2025-09-03T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-05T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,2,3日以内
2025-09-03T20:08:29.000Z,2025-09-03T09:00:00.000Z,2025-09-03T09:00:00.000Z,2025-09-03T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,0,1日以内
2025-09-03T20:13:34.000Z,2025-09-03T09:00:00.000Z,2025-09-08T09:00:00.000Z,2025-09-08T09:00:00.000Z,LIS,LC_デモ電話_AILP_PC_Aパターン_0800-111-3970,99_失注,,5,1週間
2025-09-03T20:28:37.000Z,2025-09-03T09:00:00.000Z,2025-09-05T09:00:00.000Z,2025-09-05T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,2,3日以内
2025-09-03T23:09:19.000Z,2025-09-03T09:00:00.000Z,2025-09-04T09:00:00.000Z,2025-09-04T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,1,3日以内
2025-09-04T00:34:47.000Z,2025-09-03T09:00:00.000Z,2025-09-03T09:00:00.000Z,2025-09-03T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,0,1日以内
2025-09-04T00:38:10.000Z,2025-09-03T09:00:00.000Z,,,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,,その他
2025-09-04T01:13:18.000Z,2025-09-02T09:00:00.000Z,2025-09-04T09:00:00.000Z,2025-09-03T09:00:00.000Z,,,99_失注,,1,3日以内
2025-09-04T03:07:26.000Z,2025-09-04T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,5,1週間
2025-09-04T22:10:23.000Z,2025-09-04T09:00:00.000Z,,2025-09-18T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,14,2週間以上
2025-09-04T23:07:08.000Z,2025-09-04T09:00:00.000Z,2025-09-16T09:00:00.000Z,2025-09-10T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,6,1週間
2025-09-05T01:28:34.000Z,2025-09-04T09:00:00.000Z,2025-09-24T09:00:00.000Z,2025-09-24T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,20,2週間以上
2025-09-05T06:42:32.000Z,2025-09-05T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,5,1週間
2025-09-05T07:30:03.000Z,2025-09-10T09:00:00.000Z,2025-09-16T09:00:00.000Z,2025-09-16T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,6,1週間
2025-09-05T08:59:55.000Z,2025-09-05T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-11T09:00:00.000Z,DIS,"LC_デモ電話_Dis広告_""出られない時だけ""訴求_0800-111-3936",99_失注,,6,1週間
2025-09-05T17:25:02.000Z,2025-09-05T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,5,1週間
2025-09-05T20:28:56.000Z,2025-09-05T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,99_失注,,4,1週間
2025-09-05T21:02:07.000Z,2025-09-08T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,他進行中（重複/別担当/別商談/直近対応済）,2,3日以内
2025-09-05T23:18:05.000Z,2025-09-05T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,LIS,LC_デモ電話_AILP_PC_Aパターン_0800-111-3970,99_失注,,5,1週間
2025-09-06T00:30:59.000Z,2025-09-05T09:00:00.000Z,2025-09-29T09:00:00.000Z,2025-09-29T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,04_稟議用資料提案フェーズ,,24,2週間以上
2025-09-06T00:47:34.000Z,2025-09-05T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,4,1週間
2025-09-06T01:47:41.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,LIS,LC_デモ電話_LIS・サイトリンク_0800-111-3713,06_有料契約申請完了,,0,1日以内
2025-09-06T03:34:24.000Z,2025-09-08T09:00:00.000Z,,2025-09-09T09:00:00.000Z,DIS,"LC_デモ電話_Dis広告_""AIが出れば売上に""訴求_0800-111-3741",99_失注,,1,3日以内
2025-09-06T05:24:20.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,0,1日以内
2025-09-06T05:38:25.000Z,2025-09-08T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-11T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,99_失注,,3,1週間
2025-09-06T06:36:07.000Z,2025-11-12T09:00:00.000Z,2025-11-21T09:00:00.000Z,2025-11-21T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,9,2週間以内
2025-09-06T07:50:49.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,時期尚早,1,3日以内
2025-09-06T18:34:52.000Z,2025-09-11T09:00:00.000Z,2025-09-12T09:00:00.000Z,2025-09-12T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,1,3日以内
2025-09-06T18:48:42.000Z,2025-09-08T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-09T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,1,3日以内
2025-09-06T20:21:09.000Z,2025-09-08T09:00:00.000Z,,2025-09-16T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,8,2週間以内
2025-09-06T20:56:37.000Z,2025-09-08T09:00:00.000Z,2025-09-08T09:00:00.000Z,2025-09-08T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,0,1日以内
2025-09-07T10:06:16.000Z,2025-09-09T09:00:00.000Z,,2025-09-16T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_個人事業用,99_失注,,7,2週間以内
2025-09-07T20:09:53.000Z,2025-09-08T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-09-07T22:48:18.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-09-07T23:40:23.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,1,3日以内
2025-09-08T10:12:38.000Z,2026-01-29T09:00:00.000Z,2026-02-05T09:00:00.000Z,2026-02-05T09:00:00.000Z,DIS,LC_デモ電話_Dis広告_個人事業用,03_担当者合意フェーズ,,7,2週間以内
2025-09-08T10:29:02.000Z,2025-09-11T09:00:00.000Z,2025-09-16T09:00:00.000Z,2025-09-16T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,5,1週間
2025-09-08T11:13:51.000Z,2025-09-08T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-11T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,06_有料契約申請完了,,3,1週間
2025-09-08T18:01:52.000Z,2025-09-11T09:00:00.000Z,2025-09-26T09:00:00.000Z,2025-09-26T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,99_失注,連絡つかず/音信不通,15,2週間以上
2025-09-08T19:58:44.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,1,3日以内
2025-09-08T20:04:42.000Z,2025-09-08T09:00:00.000Z,2025-09-29T09:00:00.000Z,2025-09-29T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_不動産_0800-111-4693,99_失注,,21,2週間以上
2025-09-08T21:10:30.000Z,2025-09-10T09:00:00.000Z,2025-09-16T09:00:00.000Z,2025-09-16T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,06_有料契約申請完了,,6,1週間
2025-09-08T23:52:21.000Z,2025-09-08T09:00:00.000Z,2025-09-17T09:00:00.000Z,2025-09-17T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,9,2週間以内
2025-09-09T01:05:11.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,99_失注,,1,3日以内
2025-09-09T02:02:58.000Z,2025-11-06T09:00:00.000Z,2025-11-13T09:00:00.000Z,2025-11-13T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,7,2週間以内
2025-09-09T02:39:46.000Z,2025-09-08T09:00:00.000Z,2025-09-09T09:00:00.000Z,2025-09-09T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,1,3日以内
2025-09-09T05:25:00.000Z,2025-09-09T09:00:00.000Z,,2025-09-11T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,2,3日以内
2025-09-09T06:38:32.000Z,2025-09-09T09:00:00.000Z,,2025-09-11T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,2,3日以内
2025-09-09T15:09:32.000Z,2025-09-09T09:00:00.000Z,2025-09-19T09:00:00.000Z,2025-09-19T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,10,2週間以内
2025-09-09T19:34:49.000Z,2025-09-09T09:00:00.000Z,2025-09-12T09:00:00.000Z,2025-09-12T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,3,1週間
2025-09-09T20:03:30.000Z,2025-09-09T09:00:00.000Z,2025-09-12T09:00:00.000Z,2025-09-12T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,3,1週間
2025-09-09T21:12:59.000Z,2025-09-10T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-11T09:00:00.000Z,LIS,LC_デモ電話_AILP_PC_Aパターン_0800-111-3970,06_有料契約申請完了,,1,3日以内
2025-09-09T23:01:00.000Z,2025-12-15T09:00:00.000Z,2025-12-18T09:00:00.000Z,2025-12-18T09:00:00.000Z,FAX・EDM,LC_デモ電話_EDM_0800-111-3817,06_有料契約申請完了,,3,1週間
2025-09-09T23:52:43.000Z,2025-09-09T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,時期尚早,1,3日以内
2025-09-10T00:32:19.000Z,2025-09-09T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-11T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,2,3日以内
2025-09-10T01:11:10.000Z,2025-09-09T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,1,3日以内
2025-09-10T01:41:07.000Z,2025-09-09T09:00:00.000Z,2025-10-03T09:00:00.000Z,2025-10-02T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,23,2週間以上
2025-09-10T17:10:48.000Z,2025-09-11T09:00:00.000Z,2025-12-02T09:00:00.000Z,2025-12-02T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,82,2週間以上
2025-09-10T18:17:07.000Z,2025-09-10T09:00:00.000Z,2025-09-17T09:00:00.000Z,2025-09-17T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,7,2週間以内
2025-09-10T19:05:40.000Z,2025-09-10T09:00:00.000Z,2025-09-14T09:00:00.000Z,2025-09-11T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,検討中止,1,3日以内
2025-09-10T22:22:46.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,06_有料契約申請完了,,0,1日以内
2025-09-10T22:33:39.000Z,2025-09-10T09:00:00.000Z,2025-09-18T09:00:00.000Z,2025-09-18T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,8,2週間以内
2025-09-10T23:21:48.000Z,2025-09-10T09:00:00.000Z,2025-09-11T09:00:00.000Z,2025-09-11T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-09-11T01:46:52.000Z,2025-09-10T09:00:00.000Z,,2025-09-24T09:00:00.000Z,LIS,LC_デモ電話_IP電話LP_PC_Aパターン_0800-170-7364,99_失注,,14,2週間以上
2025-09-11T06:40:35.000Z,2025-09-11T09:00:00.000Z,2025-09-16T09:00:00.000Z,2025-09-12T09:00:00.000Z,DIS,LC_デモ電話_Facebook_0800-111-3892,99_失注,,1,3日以内
2025-09-11T19:34:10.000Z,2025-09-11T09:00:00.000Z,2025-09-18T09:00:00.000Z,2025-09-18T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,99_失注,,7,2週間以内
2025-09-11T19:44:12.000Z,2025-09-11T09:00:00.000Z,2025-09-19T09:00:00.000Z,2025-09-19T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,99_失注,,8,2週間以内
2025-09-11T19:44:29.000Z,2026-02-24T09:00:00.000Z,,2026-02-25T09:00:00.000Z,FAX・EDM,LC_デモ電話_FAX_病院・クリニック_0800-111-4370,01_商談前準備フェーズ,,1,3日以内
2025-09-11T20:24:18.000Z,2025-09-11T09:00:00.000Z,2025-09-14T09:00:00.000Z,2025-09-12T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-09-11T21:08:11.000Z,2025-10-28T09:00:00.000Z,2025-11-04T09:00:00.000Z,2025-11-04T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,7,2週間以内
2025-09-12T00:01:59.000Z,2025-10-14T09:00:00.000Z,2025-10-16T09:00:00.000Z,2025-10-15T09:00:00.000Z,TOP,LC_デモ電話_フリーミアムLP_0800-111-4670,99_失注,,1,3日以内
2025-09-12T00:20:10.000Z,2025-09-11T09:00:00.000Z,2025-09-18T09:00:00.000Z,2025-09-18T09:00:00.000Z,DIS,"LC_デモ電話_Dis広告_""出られない時だけ""訴求_0800-111-3936",99_失注,,7,2週間以内
